grid_size,total_flips,nproc,time_sec,iters,type
200,10000,1,0.1043,1,baseline
200,10000,2,0.055,100,partition
200,10000,2,0.133,100,random
200,10000,3,0.036,100,partition
200,10000,3,0.120,100,random
200,10000,4,0.027,100,partition
200,10000,4,0.117,100,random
200,10000,5,0.023,100,partition
200,10000,5,0.110,100,random
200,10000,6,0.020,100,partition
200,10000,6,0.107,100,random
200,10000,7,0.018,100,partition
200,10000,7,0.107,100,random
200,10000,8,0.016,100,partition
200,10000,8,0.101,100,random
200,10000,9,0.014,100,partition
200,10000,9,0.100,100,random
200,10000,10,0.015,100,partition
200,10000,10,0.100,100,random
200,10000,11,0.013,100,partition
200,10000,11,0.101,100,random
200,10000,12,0.013,100,partition
200,10000,12,0.102,100,random
500,10000,1,0.0993,1,baseline
500,10000,2,0.053,100,partition
500,10000,2,0.614,100,random
500,10000,3,0.038,100,partition
500,10000,3,0.602,100,random
500,10000,4,0.028,100,partition
500,10000,4,0.594,100,random
500,10000,5,0.024,100,partition
500,10000,5,0.593,100,random
500,10000,6,0.020,100,partition
500,10000,6,0.590,100,random
500,10000,7,0.018,100,partition
500,10000,7,0.585,100,random
500,10000,8,0.016,100,partition
500,10000,8,0.583,100,random
500,10000,9,0.014,100,partition
500,10000,9,0.584,100,random
500,10000,10,0.014,100,partition
500,10000,10,0.582,100,random
500,10000,11,0.013,100,partition
500,10000,11,0.585,100,random
500,10000,12,0.013,100,partition
500,10000,12,0.630,100,random
200,10000,1,0.0992,1,baseline
200,10000,2,0.059,1000,partition
200,10000,2,1.050,1000,random
200,10000,3,0.043,1000,partition
200,10000,3,0.977,1000,random
200,10000,4,0.043,1000,partition
200,10000,4,0.968,1000,random
200,10000,5,0.043,1000,partition
200,10000,5,0.968,1000,random
200,10000,6,0.014,1000,partition
200,10000,6,0.972,1000,random
200,10000,7,0.013,1000,partition
200,10000,7,0.969,1000,random
200,10000,8,0.013,1000,partition
200,10000,8,0.971,1000,random
200,10000,9,0.014,1000,partition
200,10000,9,0.976,1000,random
200,10000,10,0.014,1000,partition
200,10000,10,0.976,1000,random
200,10000,11,0.017,1000,partition
200,10000,11,0.981,1000,random
200,10000,12,0.017,1000,partition
200,10000,12,1.028,1000,random
500,10000,1,0.1024,1,baseline
500,10000,2,0.059,1000,partition
500,10000,2,5.864,1000,random
500,10000,3,0.043,1000,partition
500,10000,3,5.807,1000,random
500,10000,4,0.042,1000,partition
500,10000,4,5.772,1000,random
500,10000,5,0.043,1000,partition
500,10000,5,5.804,1000,random
500,10000,6,0.014,1000,partition
500,10000,6,5.783,1000,random
500,10000,7,0.013,1000,partition
500,10000,7,5.784,1000,random
500,10000,8,0.013,1000,partition
500,10000,8,5.792,1000,random
500,10000,9,0.014,1000,partition
500,10000,9,5.788,1000,random
500,10000,10,0.014,1000,partition
500,10000,10,5.809,1000,random
500,10000,11,0.016,1000,partition
500,10000,11,5.806,1000,random
500,10000,12,0.017,1000,partition
500,10000,12,5.827,1000,random
200,100000,1,1.0115,1,baseline
200,100000,2,0.526,100,partition
200,100000,2,0.363,100,random
200,100000,3,0.358,100,partition
200,100000,3,0.222,100,random
200,100000,4,0.263,100,partition
200,100000,4,0.174,100,random
200,100000,5,0.220,100,partition
200,100000,5,0.152,100,random
200,100000,6,0.184,100,partition
200,100000,6,0.140,100,random
200,100000,7,0.152,100,partition
200,100000,7,0.131,100,random
200,100000,8,0.136,100,partition
200,100000,8,0.127,100,random
200,100000,9,0.123,100,partition
200,100000,9,0.125,100,random
200,100000,10,0.114,100,partition
200,100000,10,0.123,100,random
200,100000,11,0.102,100,partition
200,100000,11,0.122,100,random
200,100000,12,0.091,100,partition
200,100000,12,0.122,100,random
500,100000,1,0.9993,1,baseline
500,100000,2,0.521,100,partition
500,100000,2,0.857,100,random
500,100000,3,0.357,100,partition
500,100000,3,0.724,100,random
500,100000,4,0.262,100,partition
500,100000,4,0.656,100,random
500,100000,5,0.214,100,partition
500,100000,5,0.632,100,random
500,100000,6,0.178,100,partition
500,100000,6,0.621,100,random
500,100000,7,0.153,100,partition
500,100000,7,0.612,100,random
500,100000,8,0.132,100,partition
500,100000,8,0.607,100,random
500,100000,9,0.120,100,partition
500,100000,9,0.607,100,random
500,100000,10,0.111,100,partition
500,100000,10,0.605,100,random
500,100000,11,0.101,100,partition
500,100000,11,0.604,100,random
500,100000,12,0.092,100,partition
500,100000,12,0.604,100,random
200,100000,1,0.9998,1,baseline
200,100000,2,0.544,1000,partition
200,100000,2,1.339,1000,random
200,100000,3,0.353,1000,partition
200,100000,3,1.198,1000,random
200,100000,4,0.273,1000,partition
200,100000,4,1.144,1000,random
200,100000,5,0.237,1000,partition
200,100000,5,1.104,1000,random
200,100000,6,0.192,1000,partition
200,100000,6,1.062,1000,random
200,100000,7,0.171,1000,partition
200,100000,7,1.038,1000,random
200,100000,8,0.153,1000,partition
200,100000,8,0.994,1000,random
200,100000,9,0.133,1000,partition
200,100000,9,0.981,1000,random
200,100000,10,0.134,1000,partition
200,100000,10,0.977,1000,random
200,100000,11,0.114,1000,partition
200,100000,11,0.981,1000,random
200,100000,12,0.115,1000,partition
200,100000,12,0.988,1000,random
500,100000,1,1.0397,1,baseline
500,100000,2,0.538,1000,partition
500,100000,2,6.140,1000,random
500,100000,3,0.352,1000,partition
500,100000,3,6.002,1000,random
500,100000,4,0.273,1000,partition
500,100000,4,5.938,1000,random
500,100000,5,0.242,1000,partition
500,100000,5,5.900,1000,random
500,100000,6,0.196,1000,partition
500,100000,6,5.875,1000,random
500,100000,7,0.172,1000,partition
500,100000,7,6.188,1000,random
500,100000,8,0.153,1000,partition
500,100000,8,5.811,1000,random
500,100000,9,0.134,1000,partition
500,100000,9,5.806,1000,random
500,100000,10,0.134,1000,partition
500,100000,10,5.797,1000,random
500,100000,11,0.114,1000,partition
500,100000,11,5.815,1000,random
500,100000,12,0.116,1000,partition
500,100000,12,5.819,1000,random
200,1000000,1,10.7914,1,baseline
200,1000000,2,5.481,100,partition
200,1000000,2,2.751,100,random
200,1000000,3,3.655,100,partition
200,1000000,3,1.304,100,random
200,1000000,4,2.746,100,partition
200,1000000,4,0.778,100,random
200,1000000,5,2.100,100,partition
200,1000000,5,0.553,100,random
200,1000000,6,1.831,100,partition
200,1000000,6,0.421,100,random
200,1000000,7,1.575,100,partition
200,1000000,7,0.324,100,random
200,1000000,8,1.383,100,partition
200,1000000,8,0.277,100,random
200,1000000,9,1.261,100,partition
200,1000000,9,0.247,100,random
200,1000000,10,1.112,100,partition
200,1000000,10,0.221,100,random
200,1000000,11,1.048,100,partition
200,1000000,11,0.199,100,random
200,1000000,12,0.916,100,partition
200,1000000,12,0.194,100,random
500,1000000,1,10.4956,1,baseline
500,1000000,2,5.272,100,partition
500,1000000,2,3.284,100,random
500,1000000,3,3.809,100,partition
500,1000000,3,1.840,100,random
500,1000000,4,2.786,100,partition
500,1000000,4,1.318,100,random
500,1000000,5,2.191,100,partition
500,1000000,5,1.077,100,random
500,1000000,6,1.784,100,partition
500,1000000,6,0.927,100,random
500,1000000,7,1.586,100,partition
500,1000000,7,0.862,100,random
500,1000000,8,1.375,100,partition
500,1000000,8,0.822,100,random
500,1000000,9,1.293,100,partition
500,1000000,9,0.780,100,random
500,1000000,10,1.129,100,partition
500,1000000,10,0.759,100,random
