grid_size,total_flips,nproc,time_sec,iters,type
200,10000,1,0.3979,1,baseline
200,10000,2,0.434,100,partition
200,10000,2,0.460,100,random
200,10000,3,0.440,100,partition
200,10000,3,0.473,100,random
200,10000,4,0.447,100,partition
200,10000,4,0.468,100,random
200,10000,5,0.448,100,partition
200,10000,5,0.476,100,random
200,10000,6,0.452,100,partition
200,10000,6,0.476,100,random
200,10000,7,1.875,100,partition
200,10000,7,1.670,100,random
200,10000,8,2.390,100,partition
200,10000,8,2.447,100,random
200,10000,9,3.025,100,partition
200,10000,9,3.400,100,random
200,10000,10,4.038,100,partition
200,10000,10,3.564,100,random
200,10000,11,4.247,100,partition
200,10000,11,4.340,100,random
200,10000,12,4.219,100,partition
200,10000,12,4.394,100,random
500,10000,1,0.3660,1,baseline
500,10000,2,0.434,100,partition
500,10000,2,0.943,100,random
500,10000,3,0.439,100,partition
500,10000,3,0.949,100,random
500,10000,4,0.447,100,partition
500,10000,4,0.954,100,random
500,10000,5,0.449,100,partition
500,10000,5,0.954,100,random
500,10000,6,0.456,100,partition
500,10000,6,0.963,100,random
500,10000,7,1.693,100,partition
500,10000,7,2.198,100,random
500,10000,8,2.637,100,partition
500,10000,8,3.232,100,random
500,10000,9,3.057,100,partition
500,10000,9,3.008,100,random
500,10000,10,4.085,100,partition
500,10000,10,4.308,100,random
500,10000,11,3.936,100,partition
500,10000,11,4.220,100,random
500,10000,12,4.415,100,partition
500,10000,12,5.025,100,random
200,10000,1,0.3652,1,baseline
200,10000,2,0.449,1000,partition
200,10000,2,1.322,1000,random
200,10000,3,0.446,1000,partition
200,10000,3,1.335,1000,random
200,10000,4,0.451,1000,partition
200,10000,4,1.388,1000,random
200,10000,5,0.457,1000,partition
200,10000,5,1.344,1000,random
200,10000,6,0.462,1000,partition
200,10000,6,1.352,1000,random
200,10000,7,1.929,1000,partition
200,10000,7,8.355,1000,random
200,10000,8,2.632,1000,partition
200,10000,8,6.309,1000,random
200,10000,9,2.961,1000,partition
200,10000,9,8.774,1000,random
200,10000,10,11.866,1000,partition
200,10000,10,18.589,1000,random
200,10000,11,12.851,1000,partition
200,10000,11,19.684,1000,random
200,10000,12,30.748,1000,partition
200,10000,12,23.723,1000,random
500,10000,1,0.3685,1,baseline
500,10000,2,0.443,1000,partition
500,10000,2,6.131,1000,random
500,10000,3,0.447,1000,partition
500,10000,3,6.156,1000,random
500,10000,4,0.452,1000,partition
500,10000,4,6.146,1000,random
500,10000,5,0.457,1000,partition
500,10000,5,6.165,1000,random
500,10000,6,0.460,1000,partition
500,10000,6,6.158,1000,random
500,10000,7,1.637,1000,partition
500,10000,7,13.102,1000,random
500,10000,8,12.068,1000,partition
500,10000,8,18.813,1000,random
500,10000,9,3.696,1000,partition
500,10000,9,16.292,1000,random
500,10000,10,15.993,1000,partition
500,10000,10,26.549,1000,random
500,10000,11,25.438,1000,partition
500,10000,11,25.771,1000,random
500,10000,12,16.170,1000,partition
500,10000,12,32.194,1000,random
200,100000,1,0.3883,1,baseline
200,100000,2,0.438,100,partition
200,100000,2,0.470,100,random
200,100000,3,0.445,100,partition
200,100000,3,0.477,100,random
200,100000,4,0.447,100,partition
200,100000,4,0.480,100,random
200,100000,5,0.456,100,partition
200,100000,5,0.483,100,random
200,100000,6,0.454,100,partition
200,100000,6,0.488,100,random
200,100000,7,1.838,100,partition
200,100000,7,1.579,100,random
200,100000,8,2.462,100,partition
200,100000,8,2.397,100,random
200,100000,9,2.668,100,partition
200,100000,9,3.309,100,random
200,100000,10,3.608,100,partition
200,100000,10,4.012,100,random
200,100000,11,3.882,100,partition
200,100000,11,3.900,100,random
200,100000,12,4.613,100,partition
200,100000,12,4.339,100,random
500,100000,1,0.3736,1,baseline
500,100000,2,0.447,100,partition
500,100000,2,0.962,100,random
500,100000,3,0.442,100,partition
500,100000,3,0.958,100,random
500,100000,4,0.447,100,partition
500,100000,4,0.958,100,random
500,100000,5,0.453,100,partition
500,100000,5,0.968,100,random
500,100000,6,0.457,100,partition
500,100000,6,0.991,100,random
500,100000,7,1.793,100,partition
500,100000,7,2.631,100,random
500,100000,8,2.085,100,partition
500,100000,8,2.637,100,random
500,100000,9,3.563,100,partition
500,100000,9,3.039,100,random
500,100000,10,3.930,100,partition
500,100000,10,3.887,100,random
500,100000,11,4.015,100,partition
500,100000,11,3.890,100,random
500,100000,12,4.371,100,partition
500,100000,12,4.389,100,random
200,100000,1,0.3759,1,baseline
200,100000,2,0.447,1000,partition
200,100000,2,1.326,1000,random
200,100000,3,0.455,1000,partition
200,100000,3,1.330,1000,random
200,100000,4,0.455,1000,partition
200,100000,4,1.334,1000,random
200,100000,5,0.459,1000,partition
200,100000,5,1.374,1000,random
200,100000,6,0.463,1000,partition
200,100000,6,1.349,1000,random
200,100000,7,1.806,1000,partition
