grid_size,total_flips,nproc,time_sec,iters,type
200,10000,1,0.1569,1,baseline
200,10000,2,0.179,100,partition
200,10000,2,0.279,100,random
200,10000,3,0.177,100,partition
200,10000,3,0.277,100,random
200,10000,4,0.178,100,partition
200,10000,4,0.273,100,random
200,10000,5,0.178,100,partition
200,10000,5,0.275,100,random
200,10000,6,0.180,100,partition
200,10000,6,0.281,100,random
200,10000,7,0.226,100,partition
200,10000,7,0.289,100,random
200,10000,8,0.208,100,partition
200,10000,8,0.294,100,random
200,10000,9,0.191,100,partition
200,10000,9,0.286,100,random
200,10000,10,0.197,100,partition
200,10000,10,0.285,100,random
200,10000,11,0.192,100,partition
200,10000,11,0.290,100,random
200,10000,12,0.191,100,partition
200,10000,12,0.287,100,random
500,10000,1,0.1542,1,baseline
500,10000,2,0.178,100,partition
500,10000,2,0.759,100,random
500,10000,3,0.178,100,partition
500,10000,3,0.763,100,random
500,10000,4,0.181,100,partition
500,10000,4,0.762,100,random
500,10000,5,0.179,100,partition
500,10000,5,0.775,100,random
500,10000,6,0.181,100,partition
500,10000,6,0.763,100,random
500,10000,7,0.197,100,partition
500,10000,7,0.785,100,random
500,10000,8,0.198,100,partition
500,10000,8,0.786,100,random
500,10000,9,0.190,100,partition
500,10000,9,0.798,100,random
500,10000,10,0.189,100,partition
500,10000,10,0.777,100,random
500,10000,11,0.194,100,partition
500,10000,11,0.774,100,random
500,10000,12,0.194,100,partition
500,10000,12,0.794,100,random
200,10000,1,0.1529,1,baseline
200,10000,2,0.179,1000,partition
200,10000,2,1.140,1000,random
200,10000,3,0.186,1000,partition
200,10000,3,1.140,1000,random
200,10000,4,0.182,1000,partition
200,10000,4,1.137,1000,random
200,10000,5,0.187,1000,partition
200,10000,5,1.143,1000,random
200,10000,6,0.187,1000,partition
200,10000,6,1.148,1000,random
200,10000,7,0.205,1000,partition
200,10000,7,1.160,1000,random
200,10000,8,0.206,1000,partition
200,10000,8,1.171,1000,random
200,10000,9,0.194,1000,partition
200,10000,9,1.160,1000,random
200,10000,10,0.212,1000,partition
200,10000,10,1.161,1000,random
200,10000,11,0.195,1000,partition
200,10000,11,1.163,1000,random
200,10000,12,0.203,1000,partition
200,10000,12,1.163,1000,random
500,10000,1,0.1551,1,baseline
500,10000,2,0.185,1000,partition
500,10000,2,5.993,1000,random
500,10000,3,0.187,1000,partition
500,10000,3,5.983,1000,random
500,10000,4,0.184,1000,partition
500,10000,4,6.004,1000,random
500,10000,5,0.185,1000,partition
500,10000,5,6.016,1000,random
500,10000,6,0.188,1000,partition
500,10000,6,6.013,1000,random
500,10000,7,0.206,1000,partition
500,10000,7,6.062,1000,random
500,10000,8,0.206,1000,partition
500,10000,8,6.047,1000,random
500,10000,9,0.198,1000,partition
500,10000,9,6.031,1000,random
500,10000,10,0.197,1000,partition
500,10000,10,6.039,1000,random
500,10000,11,0.203,1000,partition
500,10000,11,6.044,1000,random
500,10000,12,0.201,1000,partition
500,10000,12,6.035,1000,random
200,100000,1,0.1587,1,baseline
200,100000,2,0.185,100,partition
200,100000,2,0.293,100,random
200,100000,3,0.176,100,partition
200,100000,3,0.284,100,random
200,100000,4,0.181,100,partition
200,100000,4,0.290,100,random
200,100000,5,0.181,100,partition
200,100000,5,0.290,100,random
200,100000,6,0.181,100,partition
200,100000,6,0.286,100,random
200,100000,7,0.199,100,partition
200,100000,7,0.303,100,random
200,100000,8,0.198,100,partition
200,100000,8,0.311,100,random
200,100000,9,0.187,100,partition
200,100000,9,0.296,100,random
200,100000,10,0.188,100,partition
200,100000,10,0.298,100,random
200,100000,11,0.190,100,partition
200,100000,11,0.299,100,random
200,100000,12,0.193,100,partition
200,100000,12,0.298,100,random
500,100000,1,0.1616,1,baseline
500,100000,2,0.193,100,partition
500,100000,2,0.776,100,random
500,100000,3,0.178,100,partition
500,100000,3,0.776,100,random
500,100000,4,0.178,100,partition
500,100000,4,0.770,100,random
500,100000,5,0.180,100,partition
500,100000,5,0.772,100,random
500,100000,6,0.182,100,partition
500,100000,6,0.779,100,random
500,100000,7,0.197,100,partition
500,100000,7,0.787,100,random
500,100000,8,0.199,100,partition
500,100000,8,0.798,100,random
500,100000,9,0.188,100,partition
500,100000,9,0.790,100,random
500,100000,10,0.193,100,partition
500,100000,10,0.784,100,random
500,100000,11,0.192,100,partition
500,100000,11,0.793,100,random
500,100000,12,0.198,100,partition
500,100000,12,0.790,100,random
200,100000,1,0.1580,1,baseline
200,100000,2,0.186,1000,partition
200,100000,2,1.140,1000,random
200,100000,3,0.183,1000,partition
200,100000,3,1.136,1000,random
200,100000,4,0.185,1000,partition
200,100000,4,1.140,1000,random
200,100000,5,0.187,1000,partition
200,100000,5,1.151,1000,random
200,100000,6,0.191,1000,partition
200,100000,6,1.147,1000,random
200,100000,7,0.202,1000,partition
200,100000,7,1.160,1000,random
200,100000,8,0.211,1000,partition
200,100000,8,1.162,1000,random
200,100000,9,0.195,1000,partition
200,100000,9,1.159,1000,random
200,100000,10,0.198,1000,partition
200,100000,10,1.160,1000,random
200,100000,11,0.198,1000,partition
200,100000,11,1.161,1000,random
200,100000,12,0.200,1000,partition
200,100000,12,1.167,1000,random
500,100000,1,0.1607,1,baseline
500,100000,2,0.190,1000,partition
500,100000,2,6.017,1000,random
500,100000,3,0.189,1000,partition
500,100000,3,6.000,1000,random
500,100000,4,0.185,1000,partition
500,100000,4,5.998,1000,random
500,100000,5,0.186,1000,partition
